date,NAICS  Code,company,Location,Local Area,laid_off,Effective  Date,Type,_source,_scraped_at,sector,company_original,_headcount_imputed,month
2026-07-24,334220,EchoStar Corporation (Lakewood facility),"100 Lakeforest Blvd. Gaithersburg, MD 20877",Montgomery County,42,09/22/2026,Mass Layoff - No Recall,WARN Act (https://www.dllr.state.md.us/employment/warn.shtml),2026-08-03T17:59:37.657912,Unknown,EchoStar Corporation (Lakewood facility),False,2026-07
2026-07-24,334220,EchoStar Corporation (Lakewood facility),"11717 Exploration Lane Germantown, MD 20876",Montgomery County,48,09/22/2026,Mass Layoff - No Recall,WARN Act (https://www.dllr.state.md.us/employment/warn.shtml),2026-08-03T17:59:37.657912,Unknown,EchoStar Corporation (Germantown EXM facility),False,2026-07
2026-07-24,334220,EchoStar Corporation (Lakewood facility),"19710 Observation Drive Germantown, MD 20876",Montgomery County,240,09/22/2026,Mass Layoff - No Recall,WARN Act (https://www.dllr.state.md.us/employment/warn.shtml),2026-08-03T17:59:37.657912,Unknown,EchoStar Corporation (Germantown EXP facility),False,2026-07
2026-07-24,541611,RP Professional Services LLC,"44927 George Washington Blvd. Ashburn, VA 20147",Statewide,4,09/24/2026,Mass Layoff - No Recall,WARN Act (https://www.dllr.state.md.us/employment/warn.shtml),2026-08-03T17:59:37.657912,Unknown,RP Professional Services LLC,False,2026-07
2026-07-20,541990,"Taft Broadcasting, LLC",6700 Taylor Avenue,Anne Arundel,2,09/30/2026,Mass Layoff - No Recall,WARN Act (https://www.dllr.state.md.us/employment/warn.shtml),2026-08-03T17:59:37.657912,Unknown,"Taft Broadcasting, LLC",False,2026-07
2026-07-07,336211,Dejana Truck and Utility Equipment,"6901 Rolling Mill Road Baltimore, MD 21224",Baltimore County,39,07/08/2026 - 08/17/2026,Temporary Furlough,WARN Act (https://www.dllr.state.md.us/employment/warn.shtml),2026-08-03T17:59:37.657912,Unknown,Dejana Truck and Utility Equipment,False,2026-07
2026-07-06,518210,ZeniMax Online Studios,"200 International Circle Cockeysville, MD 21030",Baltimore County,213,09/04/2026,Mass Layoff - No Recall,WARN Act (https://www.dllr.state.md.us/employment/warn.shtml),2026-08-03T17:59:37.657912,Unknown,ZeniMax Online Studios,False,2026-07
2026-07-06,511210,ZeniMax Media Inc.,"1370 Piccard Drive Rockville, MD 21030",Montgomery County,166,09/04/2026,Mass Layoff - No Recall,WARN Act (https://www.dllr.state.md.us/employment/warn.shtml),2026-08-03T17:59:37.657912,Unknown,ZeniMax Media Inc.,False,2026-07
2026-07-06,238150,"DRB Systems, Inc.","1407 Parker Road Halethorpe, MD 21227",Baltimore County,17,09/04/2026,Mass Layoff - Temporary,WARN Act (https://www.dllr.state.md.us/employment/warn.shtml),2026-08-03T17:59:37.657912,Unknown,"Pioneer Cladding & Glazing Systems, Inc.",False,2026-07
2026-07-02,541512,General Dynamics Information Technology,"19901 Germantown Road Germantown, MD 20874",Montgomery County,32,08/31/2026,Mass Layoff - No Recall,WARN Act (https://www.dllr.state.md.us/employment/warn.shtml),2026-08-03T17:59:37.657912,Unknown,General Dynamics Information Technology,False,2026-07
2026-07-01,456199,Kirson Medical LLC,"8801 Kelso Drive Essex, MD 21221",Baltimore County,20,07/26/2026,Plant Closure,WARN Act (https://www.dllr.state.md.us/employment/warn.shtml),2026-08-03T17:59:37.657912,Unknown,Kirson Medical LLC,False,2026-07
