Company,Location HQ,Industry,%,Date,Source,$ Raised (mm),Stage,Date Added,Country,AI,# Laid Off,_source,_scraped_at
FalconX,['SF Bay Area'],Crypto,0.1,2026-08-03T00:00:00.000Z,https://cryptobriefing.com/falconx-cuts-workforce-market-downturn/,477.0,Series D,2026-08-03T23:09:48.000Z,United States,No,,"layoffs.fyi (Airtable shared-view, live)",2026-08-04T07:46:52.067389+00:00
Pump.fun,['San Diego'],Crypto,,2026-08-01T00:00:00.000Z,https://www.kucoin.com/news/flash/pump-fun-employees-allegedly-laid-off-before-token-vesting-team-unlocks-102m-in-pump-tokens,,Unknown,2026-08-03T20:36:55.000Z,United States,No,40.0,"layoffs.fyi (Airtable shared-view, live)",2026-08-04T07:46:52.067389+00:00
Chime,['SF Bay Area'],Finance,0.1,2026-07-31T00:00:00.000Z,https://www.bankingdive.com/news/chime-cut-workforce-10-percent-150-employees-ai-smaller-teams-chris-britt/826730/,2300.0,Series G,2026-07-31T18:10:58.000Z,United States,Yes,150.0,"layoffs.fyi (Airtable shared-view, live)",2026-08-04T07:46:52.067389+00:00
ChargePoint,['SF Bay Area'],Manufacturing,0.1,2026-07-31T00:00:00.000Z,https://www.marketwatch.com/story/chargepoint-holdings-to-cut-10-of-workforce-b0dd44f1,1400.0,Unknown,2026-08-02T21:15:35.000Z,United States,No,144.0,"layoffs.fyi (Airtable shared-view, live)",2026-08-04T07:46:52.067389+00:00
Lightspeed Commerce,"['Montreal', 'Non-U.S.']",Retail,0.03,2026-07-31T00:00:00.000Z,https://betakit.com/lightspeed-narrows-net-loss-beats-revenue-expectations-in-fiscal-q1/,1200.0,Post-IPO,2026-07-31T18:15:07.000Z,Canada,No,100.0,"layoffs.fyi (Airtable shared-view, live)",2026-08-04T07:46:52.067389+00:00
Reforged Labs,"['Singapore', 'Non-U.S.']",Marketing,1.0,2026-07-31T00:00:00.000Z,https://www.techinasia.com/ai-ad-startup-reforged-labs-winds-years,4.0,Seed,2026-08-02T04:03:41.000Z,Singapore,No,,"layoffs.fyi (Airtable shared-view, live)",2026-08-04T07:46:52.067389+00:00
GoLemon,"['Lagos', 'Non-U.S.']",Retail,1.0,2026-07-30T00:00:00.000Z,https://nairametrics.com/2026/07/30/nigerian-startup-golemon-shuts-down-33-jobs-affected/,,Unknown,2026-07-30T23:32:16.000Z,Nigeria,No,33.0,"layoffs.fyi (Airtable shared-view, live)",2026-08-04T07:46:52.067389+00:00
Krutrim,"['Bengaluru', 'Non-U.S.']",AI,0.5,2026-07-28T00:00:00.000Z,https://yourstory.com/2026/07/krutrim-lays-off-nearly-half-workforce,304.0,Unknown,2026-07-29T01:40:22.000Z,India,No,20.0,"layoffs.fyi (Airtable shared-view, live)",2026-08-04T07:46:52.067389+00:00
Luno,"['London', 'Non-U.S.']",Crypto,0.2,2026-07-28T00:00:00.000Z,https://www.bloomberg.com/news/articles/2026-07-28/cryptocurrency-exchange-luno-to-cut-20-of-global-staff,13.0,Acquired,2026-07-29T01:41:18.000Z,United Kingdom,No,,"layoffs.fyi (Airtable shared-view, live)",2026-08-04T07:46:52.067389+00:00
ServiceNow,['SF Bay Area'],Support,,2026-07-28T00:00:00.000Z,https://www.businessinsider.com/servicenow-cuts-jobs-amid-global-restructuring-and-ai-focus-2026-7,84.0,Post-IPO,2026-07-29T01:48:32.000Z,United States,No,,"layoffs.fyi (Airtable shared-view, live)",2026-08-04T07:46:52.067389+00:00
BuzzFeed,['New York City'],Media,0.35,2026-07-27T00:00:00.000Z,https://www.hollywoodreporter.com/business/business-news/buzzfeed-huffpost-layoffs-1236657384/,696.0,Post-IPO,2026-07-28T21:32:11.000Z,United States,No,180.0,"layoffs.fyi (Airtable shared-view, live)",2026-08-04T07:46:52.067389+00:00
BitMart,['New York City'],Crypto,1.0,2026-07-27T00:00:00.000Z,https://decrypt.co/374346/bitmart-becomes-latest-crypto-exchange-to-shut-down,10.0,Series B,2026-07-29T01:43:48.000Z,United States,No,,"layoffs.fyi (Airtable shared-view, live)",2026-08-04T07:46:52.067389+00:00
Nothing,"['London', 'Non-U.S.']",Hardware,0.12,2026-07-26T00:00:00.000Z,https://sifted.eu/articles/nothing-to-cut-around-100-jobs-in-cost-cutting-push-reports-say,454.0,Series C,2026-07-29T01:42:18.000Z,United Kingdom,No,100.0,"layoffs.fyi (Airtable shared-view, live)",2026-08-04T07:46:52.067389+00:00
Papaya Gaming,"['Tel Aviv', 'Non-U.S.']",Consumer,0.07,2026-07-26T00:00:00.000Z,https://www.calcalistech.com/ctechnews/article/hyrsiu7hfg,,Unknown,2026-07-27T04:13:24.000Z,Israel,Yes,30.0,"layoffs.fyi (Airtable shared-view, live)",2026-08-04T07:46:52.067389+00:00
Dutch,['SF Bay Area'],Other,,2026-07-26T00:00:00.000Z,https://startupfortune.com/hims-cofounder-joe-spector-replaced-dutchs-marketing-team-with-ai-and-cut-acquisition-costs-20/,43.0,Series B,2026-07-27T04:15:53.000Z,United States,Yes,,"layoffs.fyi (Airtable shared-view, live)",2026-08-04T07:46:52.067389+00:00
Patreon,['SF Bay Area'],Media,0.2,2026-07-23T00:00:00.000Z,https://techcrunch.com/2026/07/23/patreon-lays-off-off-20-of-its-workforce/,413.0,Series F,2026-07-24T03:26:33.000Z,United States,Yes,93.0,"layoffs.fyi (Airtable shared-view, live)",2026-08-04T07:46:52.067389+00:00
BitMEX,['Non-U.S.'],Crypto,1.0,2026-07-23T00:00:00.000Z,https://www.cnbc.com/2026/07/23/cryptocurrency-exchange-bitmex-shut-down.html,0.0,Seed,2026-07-27T04:11:16.000Z,Seychelles,No,,"layoffs.fyi (Airtable shared-view, live)",2026-08-04T07:46:52.067389+00:00
Amazon,['Port St. Lucie'],Retail,,2026-07-22T00:00:00.000Z,https://www.msn.com/en-us/money/companies/amazon-to-renovate-two-florida-warehouses-for-400m-cut-1-100-jobs/ar-AA28s48O,8100.0,Post-IPO,2026-07-24T03:30:59.000Z,United States,No,1110.0,"layoffs.fyi (Airtable shared-view, live)",2026-08-04T07:46:52.067389+00:00
Monday.com,"['Tel Aviv', 'Non-U.S.']",Product,0.2,2026-07-22T00:00:00.000Z,https://techcrunch.com/2026/07/22/monday-com-lays-off-hundreds-to-focuses-on-ai/,384.0,Post-IPO,2026-07-23T04:23:40.000Z,Israel,Yes,630.0,"layoffs.fyi (Airtable shared-view, live)",2026-08-04T07:46:52.067389+00:00
Amazon,['Seattle'],Retail,,2026-07-22T00:00:00.000Z,https://www.reuters.com/business/world-at-work/amazon-cuts-jobs-its-artificial-general-intelligence-group-2026-07-22/,8100.0,Post-IPO,2026-07-24T03:28:35.000Z,United States,No,,"layoffs.fyi (Airtable shared-view, live)",2026-08-04T07:46:52.067389+00:00
Uber,['SF Bay Area'],Transportation,,2026-07-22T00:00:00.000Z,https://www.bloomberg.com/news/articles/2026-07-22/uber-cuts-10-of-customer-service-jobs-citing-embrace-of-ai,25200.0,Post-IPO,2026-07-24T03:41:44.000Z,United States,Yes,,"layoffs.fyi (Airtable shared-view, live)",2026-08-04T07:46:52.067389+00:00
WSC,"['Tel Aviv', 'Non-U.S.']",Media,0.1,2026-07-21T00:00:00.000Z,https://www.calcalistech.com/ctechnews/article/skknlch4zl,136.0,Series D,2026-07-27T04:19:47.000Z,Israel,No,70.0,"layoffs.fyi (Airtable shared-view, live)",2026-08-04T07:46:52.067389+00:00
Movement Labs,['New York City'],Crypto,1.0,2026-07-21T00:00:00.000Z,https://www.coindesk.com/policy/2026/07/21/movement-labs-files-for-chapter-11-months-after-token-scandal-and-strategic-overhaul,141.0,Series B,2026-07-27T04:17:12.000Z,United States,No,,"layoffs.fyi (Airtable shared-view, live)",2026-08-04T07:46:52.067389+00:00
Magic Leap,['Miami'],Consumer,,2026-07-20T00:00:00.000Z,https://roadtovr.com/magic-leap-lay-off-2026-waveguide-pivot/,4100.0,Series E,2026-07-27T04:21:53.000Z,United States,No,193.0,"layoffs.fyi (Airtable shared-view, live)",2026-08-04T07:46:52.067389+00:00
Intel,['Sacramento'],Hardware,,2026-07-20T00:00:00.000Z,https://www.oregonlive.com/silicon-forest/2026/07/intel-plans-fresh-layoffs-this-time-in-its-data-center-group.html,12.0,Post-IPO,2026-07-22T02:54:48.000Z,United States,No,,"layoffs.fyi (Airtable shared-view, live)",2026-08-04T07:46:52.067389+00:00
Samsung,['New York City'],Hardware,,2026-07-19T00:00:00.000Z,https://www.cnbc.com/2026/07/19/samsung-cuts-us-jobs-offers-relocations-ahead-of-hq-move-reuters.html,,Post-IPO,2026-07-22T02:53:52.000Z,United States,No,739.0,"layoffs.fyi (Airtable shared-view, live)",2026-08-04T07:46:52.067389+00:00
Samsung,['Dallas'],Hardware,,2026-07-19T00:00:00.000Z,https://www.cnbc.com/2026/07/19/samsung-cuts-us-jobs-offers-relocations-ahead-of-hq-move-reuters.html,,Post-IPO,2026-07-22T02:54:03.000Z,United States,No,100.0,"layoffs.fyi (Airtable shared-view, live)",2026-08-04T07:46:52.067389+00:00
Polygon,"['Cayman Islands', 'Non-U.S.']",Crypto,,2026-07-16T00:00:00.000Z,https://www.thestreet.com/crypto/markets/polygon-cuts-jobs-for-second-time-this-year-in-a-bold-pivot,451.0,Unknown,2026-07-20T01:50:24.000Z,Cayman Islands,No,,"layoffs.fyi (Airtable shared-view, live)",2026-08-04T07:46:52.067389+00:00
Sprout Social,['Chicago'],Marketing,0.2,2026-07-15T00:00:00.000Z,https://www.marketwatch.com/story/sprout-social-to-cut-20-of-workforce-as-ai-fueled-tech-layoffs-continue-7e2b1b17,111.0,Post-IPO,2026-07-15T15:43:45.000Z,United States,Yes,260.0,"layoffs.fyi (Airtable shared-view, live)",2026-08-04T07:46:52.067389+00:00
Rapid7,['Boston'],Security,0.01,2026-07-14T00:00:00.000Z,https://www.bostonglobe.com/2026/07/14/business/rapid7-layoffs-snyk-cybersecurity-jobs/,89.0,Post-IPO,2026-07-27T04:02:52.000Z,United States,No,21.0,"layoffs.fyi (Airtable shared-view, live)",2026-08-04T07:46:52.067389+00:00
Redis,['SF Bay Area'],Data,,2026-07-13T00:00:00.000Z,https://redis.io/blog/ceo-rowan-trollopes-organizational-announcement-to-redis-employees/,357.0,Series G,2026-07-13T23:38:37.000Z,United States,No,200.0,"layoffs.fyi (Airtable shared-view, live)",2026-08-04T07:46:52.067389+00:00
Gigbanc,"['Lagos', 'Non-U.S.']",Finance,1.0,2026-07-13T00:00:00.000Z,https://africabusinesscommunities.com/tech-24/nigerian-fintech-startup-gigbanc-winds-down-operations/,1.0,Seed,2026-07-14T00:01:23.000Z,Nigeria,No,,"layoffs.fyi (Airtable shared-view, live)",2026-08-04T07:46:52.067389+00:00
Alarum,"['Tel Aviv', 'Non-U.S.']",Security,,2026-07-12T00:00:00.000Z,https://www.calcalistech.com/ctechnews/article/4gnx3zo23,34.0,Post-IPO,2026-07-13T23:40:19.000Z,Israel,No,,"layoffs.fyi (Airtable shared-view, live)",2026-08-04T07:46:52.067389+00:00
GoKwik,"['New Delhi', 'Non-U.S.']",Finance,,2026-07-11T00:00:00.000Z,https://inc42.com/buzz/exclusive-gokwik-lays-off-around-120-employees-amid-ai-push/,68.0,Unknown,2026-07-12T01:08:26.000Z,India,Yes,100.0,"layoffs.fyi (Airtable shared-view, live)",2026-08-04T07:46:52.067389+00:00
OpenText,"['Waterloo', 'Non-U.S.']",Data,0.02,2026-07-08T00:00:00.000Z,https://betakit.com/opentext-lays-off-two-percent-of-its-workforce/,1100.0,Post-IPO,2026-07-10T15:33:00.000Z,Canada,No,400.0,"layoffs.fyi (Airtable shared-view, live)",2026-08-04T07:46:52.067389+00:00
MyHeritage,"['Tel Aviv', 'Non-U.S.']",Consumer,0.15,2026-07-08T00:00:00.000Z,https://en.globes.co.il/en/article-myheritage-to-lay-off-15-of-workforce-1001548761,49.0,Acquired,2026-07-09T17:00:20.000Z,Israel,No,75.0,"layoffs.fyi (Airtable shared-view, live)",2026-08-04T07:46:52.067389+00:00
Mews,"['Amsterdam', 'Non-U.S.']",Travel,0.15,2026-07-07T00:00:00.000Z,https://skift.com/2026/07/07/mews-layoffs-restructuring-ai/,817.0,Series D,2026-07-08T15:01:22.000Z,Netherlands,Yes,200.0,"layoffs.fyi (Airtable shared-view, live)",2026-08-04T07:46:52.067389+00:00
Darrow,"['Tel Aviv', 'Non-U.S.']",Legal,0.33,2026-07-07T00:00:00.000Z,https://www.calcalistech.com/ctechnews/article/hy7svt97ge,63.0,Series B,2026-07-08T14:59:54.000Z,Israel,No,60.0,"layoffs.fyi (Airtable shared-view, live)",2026-08-04T07:46:52.067389+00:00
Billion Hearts,"['Bengaluru', 'Non-U.S.']",Consumer,1.0,2026-07-07T00:00:00.000Z,https://inc42.com/buzz/koo-cofounder-mayank-bidawatka-shuts-new-startup-picsee/,5.0,Seed,2026-07-08T14:56:18.000Z,India,No,,"layoffs.fyi (Airtable shared-view, live)",2026-08-04T07:46:52.067389+00:00
PokerStars,"['Leeds', 'Non-U.S.']",Consumer,,2026-07-07T00:00:00.000Z,https://sbcamericas.com/2026/07/07/pokerstars-layoffs-fanduel-restructure/,,Acquired,2026-07-08T16:11:36.000Z,United Kingdom,No,,"layoffs.fyi (Airtable shared-view, live)",2026-08-04T07:46:52.067389+00:00
Microsoft,['Seattle'],Other,0.02,2026-07-06T00:00:00.000Z,https://www.cnbc.com/2026/07/06/microsoft-cuts-2point1percent-of-employees-as-xbox-unit-plans-to-spin-studios.html,1.0,Post-IPO,2026-07-06T16:32:44.000Z,United States,No,4800.0,"layoffs.fyi (Airtable shared-view, live)",2026-08-04T07:46:52.067389+00:00
Amazon,['Seattle'],Retail,,2026-07-06T00:00:00.000Z,https://www.geekwire.com/2026/filing-shows-amazon-cut-57-tech-jobs-in-washington-state-in-recent-weeks/,8100.0,Post-IPO,2026-07-09T16:58:28.000Z,United States,No,57.0,"layoffs.fyi (Airtable shared-view, live)",2026-08-04T07:46:52.067389+00:00
Yield Guild Games,['New York City'],Crypto,,2026-07-06T00:00:00.000Z,https://cointelegraph.com/news/yield-guild-games-cuts-35-staff-shuts-game-publisher-to-focus-on-ai,36.0,Unknown,2026-07-08T16:09:58.000Z,United States,No,35.0,"layoffs.fyi (Airtable shared-view, live)",2026-08-04T07:46:52.067389+00:00
